image_id,source,label,split,cross_site
CHNCXR_0001_0,shenzhen,0,test,train
CHNCXR_0002_0,shenzhen,0,train,train
CHNCXR_0003_0,shenzhen,0,train,train
CHNCXR_0004_0,shenzhen,0,test,train
CHNCXR_0005_0,shenzhen,0,train,train
CHNCXR_0006_0,shenzhen,0,train,train
CHNCXR_0007_0,shenzhen,0,train,train
CHNCXR_0008_0,shenzhen,0,train,train
CHNCXR_0009_0,shenzhen,0,train,train
CHNCXR_0010_0,shenzhen,0,train,val
CHNCXR_0011_0,shenzhen,0,train,train
CHNCXR_0012_0,shenzhen,0,test,val
CHNCXR_0013_0,shenzhen,0,train,train
CHNCXR_0014_0,shenzhen,0,train,train
CHNCXR_0015_0,shenzhen,0,train,train
CHNCXR_0016_0,shenzhen,0,train,train
CHNCXR_0017_0,shenzhen,0,val,train
CHNCXR_0018_0,shenzhen,0,train,train
CHNCXR_0019_0,shenzhen,0,train,train
CHNCXR_0020_0,shenzhen,0,test,train
CHNCXR_0021_0,shenzhen,0,train,train
CHNCXR_0022_0,shenzhen,0,train,train
CHNCXR_0023_0,shenzhen,0,val,train
CHNCXR_0024_0,shenzhen,0,train,train
CHNCXR_0025_0,shenzhen,0,test,train
CHNCXR_0026_0,shenzhen,0,train,train
CHNCXR_0027_0,shenzhen,0,train,val
CHNCXR_0028_0,shenzhen,0,val,train
CHNCXR_0029_0,shenzhen,0,test,val
CHNCXR_0030_0,shenzhen,0,train,train
CHNCXR_0031_0,shenzhen,0,train,train
CHNCXR_0032_0,shenzhen,0,train,train
CHNCXR_0033_0,shenzhen,0,test,train
CHNCXR_0034_0,shenzhen,0,val,train
CHNCXR_0035_0,shenzhen,0,train,val
CHNCXR_0036_0,shenzhen,0,train,train
CHNCXR_0037_0,shenzhen,0,train,train
CHNCXR_0038_0,shenzhen,0,train,train
CHNCXR_0039_0,shenzhen,0,train,train
CHNCXR_0040_0,shenzhen,0,train,val
CHNCXR_0041_0,shenzhen,0,train,val
CHNCXR_0042_0,shenzhen,0,train,train
CHNCXR_0043_0,shenzhen,0,train,train
CHNCXR_0044_0,shenzhen,0,test,train
CHNCXR_0045_0,shenzhen,0,train,train
CHNCXR_0046_0,shenzhen,0,val,val
CHNCXR_0047_0,shenzhen,0,train,train
CHNCXR_0048_0,shenzhen,0,train,train
CHNCXR_0049_0,shenzhen,0,val,train
CHNCXR_0050_0,shenzhen,0,train,train
CHNCXR_0051_0,shenzhen,0,train,train
CHNCXR_0052_0,shenzhen,0,train,train
CHNCXR_0053_0,shenzhen,0,test,train
CHNCXR_0054_0,shenzhen,0,train,train
CHNCXR_0055_0,shenzhen,0,val,train
CHNCXR_0056_0,shenzhen,0,train,train
CHNCXR_0057_0,shenzhen,0,val,train
CHNCXR_0058_0,shenzhen,0,test,train
CHNCXR_0059_0,shenzhen,0,train,train
CHNCXR_0060_0,shenzhen,0,val,train
CHNCXR_0061_0,shenzhen,0,train,train
CHNCXR_0062_0,shenzhen,0,train,train
CHNCXR_0063_0,shenzhen,0,test,train
CHNCXR_0064_0,shenzhen,0,test,train
CHNCXR_0065_0,shenzhen,0,train,train
CHNCXR_0066_0,shenzhen,0,train,train
CHNCXR_0067_0,shenzhen,0,train,train
CHNCXR_0068_0,shenzhen,0,val,train
CHNCXR_0069_0,shenzhen,0,train,val
CHNCXR_0070_0,shenzhen,0,train,train
CHNCXR_0071_0,shenzhen,0,train,train
CHNCXR_0072_0,shenzhen,0,train,train
CHNCXR_0073_0,shenzhen,0,test,train
CHNCXR_0074_0,shenzhen,0,train,train
CHNCXR_0075_0,shenzhen,0,train,train
CHNCXR_0076_0,shenzhen,0,train,val
CHNCXR_0077_0,shenzhen,0,test,train
CHNCXR_0078_0,shenzhen,0,train,train
CHNCXR_0079_0,shenzhen,0,train,val
CHNCXR_0080_0,shenzhen,0,train,train
CHNCXR_0081_0,shenzhen,0,test,val
CHNCXR_0082_0,shenzhen,0,train,train
CHNCXR_0083_0,shenzhen,0,train,train
CHNCXR_0084_0,shenzhen,0,train,train
CHNCXR_0085_0,shenzhen,0,train,train
CHNCXR_0086_0,shenzhen,0,test,train
CHNCXR_0087_0,shenzhen,0,train,train
CHNCXR_0088_0,shenzhen,0,train,train
CHNCXR_0089_0,shenzhen,0,train,train
CHNCXR_0090_0,shenzhen,0,val,val
CHNCXR_0091_0,shenzhen,0,train,train
CHNCXR_0092_0,shenzhen,0,val,train
CHNCXR_0093_0,shenzhen,0,val,train
CHNCXR_0094_0,shenzhen,0,test,train
CHNCXR_0095_0,shenzhen,0,train,train
CHNCXR_0096_0,shenzhen,0,test,train
CHNCXR_0097_0,shenzhen,0,train,train
CHNCXR_0098_0,shenzhen,0,val,train
CHNCXR_0099_0,shenzhen,0,train,train
CHNCXR_0100_0,shenzhen,0,train,val
CHNCXR_0101_0,shenzhen,0,val,train
CHNCXR_0102_0,shenzhen,0,val,train
CHNCXR_0103_0,shenzhen,0,val,train
CHNCXR_0104_0,shenzhen,0,test,train
CHNCXR_0105_0,shenzhen,0,train,train
CHNCXR_0106_0,shenzhen,0,train,train
CHNCXR_0107_0,shenzhen,0,val,train
CHNCXR_0108_0,shenzhen,0,train,train
CHNCXR_0109_0,shenzhen,0,train,train
CHNCXR_0110_0,shenzhen,0,train,train
CHNCXR_0111_0,shenzhen,0,train,train
CHNCXR_0112_0,shenzhen,0,val,train
CHNCXR_0113_0,shenzhen,0,train,train
CHNCXR_0114_0,shenzhen,0,train,train
CHNCXR_0115_0,shenzhen,0,train,train
CHNCXR_0116_0,shenzhen,0,train,train
CHNCXR_0117_0,shenzhen,0,train,train
CHNCXR_0118_0,shenzhen,0,train,train
CHNCXR_0119_0,shenzhen,0,val,train
CHNCXR_0120_0,shenzhen,0,train,train
CHNCXR_0121_0,shenzhen,0,train,train
CHNCXR_0122_0,shenzhen,0,test,train
CHNCXR_0123_0,shenzhen,0,train,train
CHNCXR_0124_0,shenzhen,0,train,train
CHNCXR_0125_0,shenzhen,0,train,train
CHNCXR_0126_0,shenzhen,0,test,train
CHNCXR_0127_0,shenzhen,0,val,train
CHNCXR_0128_0,shenzhen,0,train,val
CHNCXR_0129_0,shenzhen,0,train,train
CHNCXR_0130_0,shenzhen,0,train,train
CHNCXR_0131_0,shenzhen,0,train,train
CHNCXR_0132_0,shenzhen,0,train,train
CHNCXR_0133_0,shenzhen,0,train,val
CHNCXR_0134_0,shenzhen,0,train,train
CHNCXR_0135_0,shenzhen,0,train,train
CHNCXR_0136_0,shenzhen,0,train,train
CHNCXR_0137_0,shenzhen,0,train,val
CHNCXR_0138_0,shenzhen,0,test,train
CHNCXR_0139_0,shenzhen,0,train,train
CHNCXR_0140_0,shenzhen,0,test,val
CHNCXR_0141_0,shenzhen,0,train,train
CHNCXR_0142_0,shenzhen,0,train,train
CHNCXR_0143_0,shenzhen,0,train,train
CHNCXR_0144_0,shenzhen,0,val,train
CHNCXR_0145_0,shenzhen,0,val,val
CHNCXR_0146_0,shenzhen,0,test,train
CHNCXR_0147_0,shenzhen,0,train,train
CHNCXR_0148_0,shenzhen,0,val,train
CHNCXR_0149_0,shenzhen,0,train,train
CHNCXR_0150_0,shenzhen,0,train,train
CHNCXR_0151_0,shenzhen,0,train,train
CHNCXR_0152_0,shenzhen,0,test,train
CHNCXR_0153_0,shenzhen,0,train,train
CHNCXR_0154_0,shenzhen,0,train,train
CHNCXR_0155_0,shenzhen,0,train,train
CHNCXR_0156_0,shenzhen,0,train,val
CHNCXR_0157_0,shenzhen,0,train,train
CHNCXR_0158_0,shenzhen,0,test,train
CHNCXR_0159_0,shenzhen,0,train,train
CHNCXR_0160_0,shenzhen,0,val,val
CHNCXR_0161_0,shenzhen,0,train,train
CHNCXR_0162_0,shenzhen,0,test,train
CHNCXR_0163_0,shenzhen,0,train,train
CHNCXR_0164_0,shenzhen,0,val,val
CHNCXR_0165_0,shenzhen,0,train,train
CHNCXR_0166_0,shenzhen,0,val,train
CHNCXR_0167_0,shenzhen,0,val,train
CHNCXR_0168_0,shenzhen,0,train,train
CHNCXR_0169_0,shenzhen,0,train,train
CHNCXR_0170_0,shenzhen,0,train,val
CHNCXR_0171_0,shenzhen,0,train,train
CHNCXR_0172_0,shenzhen,0,train,train
CHNCXR_0173_0,shenzhen,0,train,train
CHNCXR_0174_0,shenzhen,0,train,train
CHNCXR_0175_0,shenzhen,0,test,train
CHNCXR_0176_0,shenzhen,0,train,train
CHNCXR_0177_0,shenzhen,0,test,train
CHNCXR_0178_0,shenzhen,0,train,train
CHNCXR_0179_0,shenzhen,0,train,train
CHNCXR_0180_0,shenzhen,0,test,train
CHNCXR_0181_0,shenzhen,0,val,train
CHNCXR_0182_0,shenzhen,0,test,val
CHNCXR_0183_0,shenzhen,0,train,train
CHNCXR_0184_0,shenzhen,0,val,train
CHNCXR_0185_0,shenzhen,0,train,train
CHNCXR_0186_0,shenzhen,0,test,train
CHNCXR_0187_0,shenzhen,0,test,train
CHNCXR_0188_0,shenzhen,0,train,train
CHNCXR_0189_0,shenzhen,0,train,train
CHNCXR_0190_0,shenzhen,0,train,train
CHNCXR_0191_0,shenzhen,0,val,train
CHNCXR_0192_0,shenzhen,0,train,train
CHNCXR_0193_0,shenzhen,0,train,train
CHNCXR_0194_0,shenzhen,0,train,train
CHNCXR_0195_0,shenzhen,0,train,val
CHNCXR_0196_0,shenzhen,0,train,train
CHNCXR_0197_0,shenzhen,0,train,train
CHNCXR_0198_0,shenzhen,0,train,train
CHNCXR_0199_0,shenzhen,0,train,train
CHNCXR_0200_0,shenzhen,0,train,train
CHNCXR_0201_0,shenzhen,0,train,train
CHNCXR_0202_0,shenzhen,0,train,train
CHNCXR_0203_0,shenzhen,0,train,train
CHNCXR_0204_0,shenzhen,0,train,train
CHNCXR_0205_0,shenzhen,0,train,train
CHNCXR_0206_0,shenzhen,0,train,train
CHNCXR_0207_0,shenzhen,0,train,train
CHNCXR_0208_0,shenzhen,0,test,train
CHNCXR_0209_0,shenzhen,0,train,train
CHNCXR_0210_0,shenzhen,0,train,train
CHNCXR_0211_0,shenzhen,0,train,val
CHNCXR_0212_0,shenzhen,0,train,train
CHNCXR_0213_0,shenzhen,0,train,train
CHNCXR_0214_0,shenzhen,0,train,train
CHNCXR_0215_0,shenzhen,0,train,train
CHNCXR_0216_0,shenzhen,0,train,train
CHNCXR_0217_0,shenzhen,0,train,val
CHNCXR_0218_0,shenzhen,0,train,val
CHNCXR_0219_0,shenzhen,0,train,train
CHNCXR_0220_0,shenzhen,0,train,train
CHNCXR_0221_0,shenzhen,0,test,train
CHNCXR_0222_0,shenzhen,0,train,train
CHNCXR_0223_0,shenzhen,0,test,train
CHNCXR_0224_0,shenzhen,0,train,val
CHNCXR_0225_0,shenzhen,0,train,train
CHNCXR_0226_0,shenzhen,0,train,train
CHNCXR_0227_0,shenzhen,0,train,train
CHNCXR_0228_0,shenzhen,0,train,val
CHNCXR_0229_0,shenzhen,0,train,train
CHNCXR_0230_0,shenzhen,0,train,train
CHNCXR_0231_0,shenzhen,0,train,val
CHNCXR_0232_0,shenzhen,0,test,train
CHNCXR_0233_0,shenzhen,0,train,train
